date,var,type,number
2016/11/10,产品,产品类型04,0
2016/11/11,产品,产品类型04,0
2016/11/12,产品,产品类型04,0
2016/11/13,产品,产品类型04,0
2016/11/14,产品,产品类型04,0
2016/11/15,产品,产品类型04,0
2016/11/16,产品,产品类型04,0
2016/11/17,产品,产品类型04,0
2016/11/18,产品,产品类型04,0
2016/11/19,产品,产品类型04,0
2016/11/20,产品,产品类型04,0
2016/11/21,产品,产品类型04,0
2016/11/22,产品,产品类型04,0
2016/11/23,产品,产品类型04,0
2016/11/24,产品,产品类型04,1
2016/11/25,产品,产品类型04,0
2016/11/26,产品,产品类型04,0
2016/11/27,产品,产品类型04,0
2016/11/28,产品,产品类型04,0
2016/11/29,产品,产品类型04,0
2016/11/30,产品,产品类型04,0
2016/10/2,产品,产品类型05,0
2016/10/3,产品,产品类型05,1
2016/10/4,产品,产品类型05,0
2016/10/5,产品,产品类型05,1
2016/10/6,产品,产品类型05,0
2016/10/7,产品,产品类型05,0
2016/10/8,产品,产品类型05,0
2016/10/9,产品,产品类型05,0
2016/10/10,产品,产品类型05,0
2016/10/11,产品,产品类型05,0
2016/10/12,产品,产品类型05,0
2016/10/13,产品,产品类型05,0
2016/10/14,产品,产品类型05,0
2016/10/15,产品,产品类型05,0
2016/10/16,产品,产品类型05,0
2016/10/17,产品,产品类型05,0
2016/10/18,产品,产品类型05,0
2016/10/19,产品,产品类型05,0
2016/10/20,产品,产品类型05,0
2016/10/21,产品,产品类型05,0
2016/10/22,产品,产品类型05,0
2016/10/23,产品,产品类型05,0
2016/10/24,产品,产品类型05,0
2016/10/25,产品,产品类型05,0
2016/10/26,产品,产品类型05,0
2016/10/27,产品,产品类型05,0
2016/10/28,产品,产品类型05,0
2016/10/29,产品,产品类型05,0
2016/10/30,产品,产品类型05,0
2016/10/31,产品,产品类型05,0
2016/11/1,产品,产品类型05,0
2016/11/2,产品,产品类型05,0
2016/11/3,产品,产品类型05,0
2016/11/4,产品,产品类型05,0
2016/11/5,产品,产品类型05,0
2016/11/6,产品,产品类型05,0
2016/11/7,产品,产品类型05,0
2016/11/8,产品,产品类型05,0
2016/11/9,产品,产品类型05,0
2016/11/10,产品,产品类型05,0
2016/11/11,产品,产品类型05,0
2016/11/12,产品,产品类型05,0
2016/11/13,产品,产品类型05,0
2016/11/14,产品,产品类型05,0
2016/11/15,产品,产品类型05,0
2016/11/16,产品,产品类型05,1
2016/11/17,产品,产品类型05,1
2016/11/18,产品,产品类型05,0
2016/11/19,产品,产品类型05,0
2016/11/20,产品,产品类型05,0
2016/11/21,产品,产品类型05,0
